,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_1_unbalanced,mu_2_unbalanced,mu_balanced,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Majority Voting,,,,,0.75,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
23,0.0,0.0,0.0,0.0,0.49300764449438794,1.0,0.32758974358974347,325.0,0.32758974358974347,0.24650382224719397,0.5,0.16379487179487173,325.0,Maximum Proposal,,,,,0.75,0.4,0.6,0.01,2,0.49300764449438794,1.0,0.32758974358974347,325.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Mean Proposal,,,,,0.75,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - 3x3 Conv Entropy,,,,,0.75,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - 5x5 Conv Entropy,,,,,0.75,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - Mean Entropy,,,,,0.75,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - Pixelwise Entropy,,,,,0.75,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Weighted Mean - 3x3 Conv Entropy,,,,,0.75,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Weighted Mean - 5x5 Conv Entropy,,,,,0.75,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Weighted Mean - Mean Entropy,,,,,0.75,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
32,0.0,0.0,0.0,0.0,0.004890533344398869,0.5,0.002461538461538461,325.0,0.002461538461538461,0.0024452666721994343,0.25,0.0012307692307692306,325.0,Weighted Mean - Pixelwise Entropy,,,,,0.75,0.4,0.6,0.01,2,0.004890533344398869,0.5,0.002461538461538461,325.0
33,0.0,0.0,0.0,0.0,0.7980165281898575,1.0,0.6645498375773431,244.73333333333332,0.6645498375773431,0.39900826409492873,0.5,0.33227491878867155,244.73333333333332,Majority Voting,,,,,0.75,0.5,0.6,0.01,2,0.7980165281898575,1.0,0.6645498375773431,244.73333333333332
34,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.73333333333332,,0.5,0.5,0.5,244.73333333333332,Maximum Proposal,1.0,1.0,1.0,244.73333333333332,0.75,0.5,0.6,0.01,2,1.0,1.0,1.0,244.73333333333332
35,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.73333333333332,,0.5,0.5,0.5,244.73333333333332,Mean Proposal,1.0,1.0,1.0,244.73333333333332,0.75,0.5,0.6,0.01,2,1.0,1.0,1.0,244.73333333333332
36,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.73333333333332,,0.5,0.5,0.5,244.73333333333332,Negotiation - 3x3 Conv Entropy,1.0,1.0,1.0,244.73333333333332,0.75,0.5,0.6,0.01,2,1.0,1.0,1.0,244.73333333333332
37,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.73333333333332,,0.5,0.5,0.5,244.73333333333332,Negotiation - 5x5 Conv Entropy,1.0,1.0,1.0,244.73333333333332,0.75,0.5,0.6,0.01,2,1.0,1.0,1.0,244.73333333333332
38,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.73333333333332,,0.5,0.5,0.5,244.73333333333332,Negotiation - Mean Entropy,1.0,1.0,1.0,244.73333333333332,0.75,0.5,0.6,0.01,2,1.0,1.0,1.0,244.73333333333332
39,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.73333333333332,,0.5,0.5,0.5,244.73333333333332,Negotiation - Pixelwise Entropy,1.0,1.0,1.0,244.73333333333332,0.75,0.5,0.6,0.01,2,1.0,1.0,1.0,244.73333333333332
40,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.73333333333332,,0.5,0.5,0.5,244.73333333333332,Weighted Mean - 3x3 Conv Entropy,1.0,1.0,1.0,244.73333333333332,0.75,0.5,0.6,0.01,2,1.0,1.0,1.0,244.73333333333332
