,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,unbalanced_agents,mu_balanced,mu_1_unbalanced,mu_2_unbalanced,std
23,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Maximum Proposal,2,0.6,0.75,0.4,0.01
24,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Mean Proposal,2,0.6,0.75,0.4,0.01
25,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.75,0.4,0.01
26,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.75,0.4,0.01
27,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy,2,0.6,0.75,0.4,0.01
28,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy,2,0.6,0.75,0.4,0.01
29,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.75,0.4,0.01
30,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.75,0.4,0.01
31,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Mean Entropy,2,0.6,0.75,0.4,0.01
32,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.75,0.4,0.01
33,1.0,1.0,1.0,199.8,1.0,1.0,1.0,113.53333333333333,1.0,1.0,1.0,1.0,313.3333333333333,1.0,1.0,1.0,313.3333333333333,Majority Voting,2,0.6,0.75,0.5,0.01
34,1.0,1.0,1.0,199.8,1.0,1.0,1.0,113.53333333333333,1.0,1.0,1.0,1.0,313.3333333333333,1.0,1.0,1.0,313.3333333333333,Maximum Proposal,2,0.6,0.75,0.5,0.01
35,1.0,1.0,1.0,199.8,1.0,1.0,1.0,113.53333333333333,1.0,1.0,1.0,1.0,313.3333333333333,1.0,1.0,1.0,313.3333333333333,Mean Proposal,2,0.6,0.75,0.5,0.01
36,1.0,1.0,1.0,199.8,1.0,1.0,1.0,113.53333333333333,1.0,1.0,1.0,1.0,313.3333333333333,1.0,1.0,1.0,313.3333333333333,Negotiation - 3x3 Conv Entropy,2,0.6,0.75,0.5,0.01
37,1.0,1.0,1.0,199.8,1.0,1.0,1.0,113.53333333333333,1.0,1.0,1.0,1.0,313.3333333333333,1.0,1.0,1.0,313.3333333333333,Negotiation - 5x5 Conv Entropy,2,0.6,0.75,0.5,0.01
38,1.0,1.0,1.0,199.8,1.0,1.0,1.0,113.53333333333333,1.0,1.0,1.0,1.0,313.3333333333333,1.0,1.0,1.0,313.3333333333333,Negotiation - Mean Entropy,2,0.6,0.75,0.5,0.01
