,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,unbalanced_agents,mu_balanced,mu_1_unbalanced,mu_2_unbalanced,std
24,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Mean Proposal,2,0.6,0.75,0.4,0.01
25,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.75,0.4,0.01
26,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.75,0.4,0.01
27,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy,2,0.6,0.75,0.4,0.01
28,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy,2,0.6,0.75,0.4,0.01
29,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.75,0.4,0.01
30,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.75,0.4,0.01
31,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Mean Entropy,2,0.6,0.75,0.4,0.01
32,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.75,0.4,0.01
33,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Majority Voting,2,0.6,0.75,0.5,0.01
34,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Maximum Proposal,2,0.6,0.75,0.5,0.01
35,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Mean Proposal,2,0.6,0.75,0.5,0.01
36,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Negotiation - 3x3 Conv Entropy,2,0.6,0.75,0.5,0.01
37,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Negotiation - 5x5 Conv Entropy,2,0.6,0.75,0.5,0.01
38,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Negotiation - Mean Entropy,2,0.6,0.75,0.5,0.01
39,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Negotiation - Pixelwise Entropy,2,0.6,0.75,0.5,0.01
40,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.75,0.5,0.01
41,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.75,0.5,0.01
42,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Weighted Mean - Mean Entropy,2,0.6,0.75,0.5,0.01
43,1.0,1.0,1.0,150.0,1.0,1.0,1.0,162.5,1.0,1.0,1.0,1.0,312.5,1.0,1.0,1.0,312.5,Weighted Mean - Pixelwise Entropy,2,0.6,0.75,0.5,0.01
44,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Majority Voting,2,0.6,0.9,0.4,0.01
45,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Maximum Proposal,2,0.6,0.9,0.4,0.01
46,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Mean Proposal,2,0.6,0.9,0.4,0.01
47,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.9,0.4,0.01
48,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.9,0.4,0.01
49,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy,2,0.6,0.9,0.4,0.01
50,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy,2,0.6,0.9,0.4,0.01
51,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.9,0.4,0.01
52,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.9,0.4,0.01
53,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Mean Entropy,2,0.6,0.9,0.4,0.01
54,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.9,0.4,0.01
55,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Majority Voting,2,0.6,0.9,0.5,0.01
56,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Maximum Proposal,2,0.6,0.9,0.5,0.01
57,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Mean Proposal,2,0.6,0.9,0.5,0.01
58,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Negotiation - 3x3 Conv Entropy,2,0.6,0.9,0.5,0.01
59,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Negotiation - 5x5 Conv Entropy,2,0.6,0.9,0.5,0.01
60,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Negotiation - Mean Entropy,2,0.6,0.9,0.5,0.01
61,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Negotiation - Pixelwise Entropy,2,0.6,0.9,0.5,0.01
62,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.9,0.5,0.01
63,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.9,0.5,0.01
