,TN,FP,TP,FN
1396,106429,34,87574,2955
1397,94570,1314,90763,10345
1398,166845,245,22722,7180
1399,174675,258,0,0
1400,97809,183,87674,11326
1401,141612,5916,45360,4104
1404,196992,0,0,0
1405,91845,3933,82785,18429
1406,187891,1512,4261,3328
1407,174579,23,179,152
1408,190714,645,4913,720
1411,137774,774,39341,19103
1412,82367,1216,108688,4721
1414,196317,517,143,15
1415,151084,83,20203,3563
1416,112522,8148,66243,10079
1419,192075,424,2494,1999
1422,195980,31,590,391
1424,147578,0,0,166
1428,174577,0,0,356
1432,167325,194,26010,3463
1435,190704,2,4638,1648
1438,195275,255,861,601
1440,165516,1241,5547,2629
1443,196965,0,0,27
1446,109961,285,66468,7453
