,bird_f1-score,bird_precision,bird_recall,bird_support,cat_f1-score,cat_precision,cat_recall,cat_support,dog_f1-score,dog_precision,dog_recall,dog_support,horse_f1-score,horse_precision,horse_recall,horse_support,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,other_f1-score,other_precision,other_recall,other_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,non_consensus_px,pred_path,gt_path
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005166051660516605,1.0,0.002589715131335553,5406.0,0.15524905477466086,0.3254888412906792,0.20051794302626713,14487.0,0.6278042382825982,0.6278042382825982,0.6278042382825982,14487.0,0.7710792222127877,0.6274442064533959,1.0,9081.0,0.4852694203210518,0.7664679256439074,0.6278042382825982,14487.0,Majority Voting,14487,predictions/bcdh/000000103549.npy,datasets/coco_animals/train/seg/000000103549.png
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19448476052249636,0.7584905660377359,0.11154273029966703,5406.0,0.19502921399357845,0.2815403568534718,0.21807993687592284,14487.0,0.6552081176226963,0.6552081176226963,0.6552081176226963,14487.0,0.7806613094453958,0.6492112182296231,0.9788569540799471,9081.0,0.56192241088274,0.6899901341025201,0.6552081176226963,14487.0,Mean Proposal,14487,predictions/bcdh/000000103549.npy,datasets/coco_animals/train/seg/000000103549.png
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7118441971383148,0.5544891640866874,0.9938956714761377,5406.0,0.27967969113540186,0.3095219729048922,0.3037014996734898,14487.0,0.6997307931248705,0.6997307931248705,0.6997307931248705,14487.0,0.6865542585386945,0.9931207004377736,0.5246118268913116,9081.0,0.6959915062828478,0.829440015305312,0.6997307931248705,14487.0,Maximum Proposal,14487,predictions/bcdh/000000103549.npy,datasets/coco_animals/train/seg/000000103549.png
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077832046636207,0.7034851811196488,0.9483906770255272,5406.0,0.3315812109572942,0.33294595968552165,0.34208425807881976,14487.0,0.8315731345344102,0.8315731345344102,0.8315731345344102,14487.0,0.8501228501228502,0.9612446173079594,0.7620306133685717,9081.0,0.8343232971890064,0.8650585531101264,0.8315731345344102,14487.0,Weighted Mean - Pixelwise Entropy,14487,predictions/bcdh/000000103549.npy,datasets/coco_animals/train/seg/000000103549.png
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1619313516176712,0.7218155197657394,0.09119496855345911,5406.0,0.18778937279240032,0.2731808379432957,0.2140544325390147,14487.0,0.6477531580037275,0.6477531580037275,0.6477531580037275,14487.0,0.7770155123443303,0.6440886699507389,0.9790771941416143,9081.0,0.5474893873434109,0.6730933879806894,0.6477531580037275,14487.0,Weighted Mean - Mean Entropy,14487,predictions/bcdh/000000103549.npy,datasets/coco_animals/train/seg/000000103549.png
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076286547403262,0.7035562268296032,0.9478357380688124,5406.0,0.3315472231187745,0.3328822614680861,0.34201731829981025,14487.0,0.8315041071305308,0.8315041071305308,0.8315041071305308,14487.0,0.8501074608535463,0.9608550805108274,0.7622508534302389,9081.0,0.834255978431508,0.8648408882694595,0.8315041071305308,14487.0,Weighted Mean - 3x3 Conv Entropy,14487,predictions/bcdh/000000103549.npy,datasets/coco_animals/train/seg/000000103549.png
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077287066246057,0.7040142974979379,0.9472807991120976,5406.0,0.3316206155117384,0.33290046105233956,0.34203847454546765,14487.0,0.8317111893421689,0.8317111893421688,0.8317111893421688,14487.0,0.8503743709340862,0.9604880077637599,0.7629115736152406,9081.0,0.8344606233495585,0.8647817278095227,0.8317111893421688,14487.0,Weighted Mean - 5x5 Conv Entropy,14487,predictions/bcdh/000000103549.npy,datasets/coco_animals/train/seg/000000103549.png
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7184687709872397,0.5640025305778152,0.9894561598224195,5406.0,0.28416521116989896,0.3105218732952552,0.3068219664650896,14487.0,0.7106371229378065,0.7106371229378063,0.7106371229378063,14487.0,0.702357284862255,0.9886068358984609,0.5446536725030283,9081.0,0.708369481589781,0.8301605823909431,0.7106371229378063,14487.0,Negotiation - Pixelwise Entropy,14487,predictions/bcdh/000000103549.npy,datasets/coco_animals/train/seg/000000103549.png
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08668623726472112,0.6519480519480519,0.0464298927118017,5406.0,0.1717089853643448,0.25727941325445225,0.2063347617160196,14487.0,0.6349140608821702,0.6349140608821702,0.6349140608821702,14487.0,0.7718586895570029,0.6344490143242093,0.9852439158682964,9081.0,0.5161782673100177,0.6409789927458628,0.6349140608821702,14487.0,Negotiation - Mean Entropy,14487,predictions/bcdh/000000103549.npy,datasets/coco_animals/train/seg/000000103549.png
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193006052454607,0.5650887573964497,0.9892711801701812,5406.0,0.28467123846259185,0.3107083746128755,0.3072034266518096,14487.0,0.7118796162076343,0.7118796162076344,0.7118796162076344,14487.0,0.7040555870674985,0.9884531156679275,0.5467459530888669,9081.0,0.7097444507570176,0.8304695634614244,0.7118796162076344,14487.0,Negotiation - 3x3 Conv Entropy,14487,predictions/bcdh/000000103549.npy,datasets/coco_animals/train/seg/000000103549.png
