,bird_f1-score,bird_precision,bird_recall,bird_support,cat_f1-score,cat_precision,cat_recall,cat_support,dog_f1-score,dog_precision,dog_recall,dog_support,horse_f1-score,horse_precision,horse_recall,horse_support,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,other_f1-score,other_precision,other_recall,other_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,non_consensus_px,pred_path,gt_path
0,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17715915797757228,0.15900061799240753,0.2,11945.0,0.7538719129342822,0.7538719129342821,0.7538719129342821,11945.0,0.8857957898878615,0.7950030899620376,1.0,9005.0,0.6677765665918955,0.5993305002183464,0.7538719129342821,11945.0,Majority Voting,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
1,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17317026194144838,0.15286916602907422,0.19968906163242645,11945.0,0.7526998744244454,0.7526998744244454,0.7526998744244454,11945.0,0.8658513097072419,0.764345830145371,0.9984453081621322,9005.0,0.652740983165652,0.5762188531150327,0.7526998744244454,11945.0,Mean Proposal,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
2,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17148163433759803,0.16013103381828692,0.18456413103831204,11945.0,0.6956885726245291,0.6956885726245291,0.6956885726245291,11945.0,0.8574081716879901,0.8006551690914346,0.9228206551915602,9005.0,0.6463759385559105,0.6035914439236809,0.6956885726245291,11945.0,Maximum Proposal,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
3,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1720709121521244,0.15527750469210833,0.19293725707940032,11945.0,0.7272498953537045,0.7272498953537044,0.7272498953537044,11945.0,0.860354560760622,0.7763875234605416,0.9646862853970016,9005.0,0.6485971385223441,0.5852967474895083,0.7272498953537044,11945.0,Weighted Mean - Pixelwise Entropy,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
4,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17249305622066852,0.15163761892733857,0.2,11945.0,0.7538719129342822,0.7538719129342821,0.7538719129342821,11945.0,0.8624652811033426,0.7581880946366928,1.0,9005.0,0.6501883513047803,0.5715767092677622,0.7538719129342821,11945.0,Weighted Mean - Mean Entropy,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
5,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17207367795603087,0.1552676257707086,0.19295946696279845,11945.0,0.7273336123901214,0.7273336123901214,0.7273336123901214,11945.0,0.8603683897801544,0.776338128853543,0.9647973348139922,9005.0,0.648607563831753,0.5852595102826417,0.7273336123901214,11945.0,Weighted Mean - 3x3 Conv Entropy,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
6,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1721328515566995,0.15527772816574387,0.19309272626318713,11945.0,0.7278359146086228,0.7278359146086228,0.7278359146086228,11945.0,0.8606642577834974,0.7763886408287194,0.9654636313159356,9005.0,0.6488306104094094,0.585297589841994,0.7278359146086228,11945.0,Weighted Mean - 5x5 Conv Entropy,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
7,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17156163297661514,0.154879685123893,0.19227096057745696,11945.0,0.7247383842611972,0.7247383842611972,0.7247383842611972,11945.0,0.8578081648830757,0.774398425619465,0.9613548028872848,9005.0,0.6466774821910504,0.5837972224950425,0.7247383842611972,11945.0,Negotiation - Pixelwise Entropy,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
8,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17194138145018856,0.15078700602813128,0.2,11945.0,0.7538719129342822,0.7538719129342821,0.7538719129342821,11945.0,0.8597069072509428,0.7539350301406564,1.0,9005.0,0.6481088907320838,0.5683704434003024,0.7538719129342821,11945.0,Negotiation - Mean Entropy,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
9,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17156445060933317,0.15486986852696538,0.1922931704608551,11945.0,0.7248221012976142,0.724822101297614,0.724822101297614,11945.0,0.8578222530466659,0.7743493426348269,0.9614658523042754,9005.0,0.6466881028618858,0.5837602202115209,0.724822101297614,11945.0,Negotiation - 3x3 Conv Entropy,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
10,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1715926531016387,0.1548150795068787,0.19244863964464187,11945.0,0.7254081205525325,0.7254081205525325,0.7254081205525325,11945.0,0.8579632655081936,0.7740753975343935,0.9622431982232094,9005.0,0.6467944081960053,0.5835537006946181,0.7254081205525325,11945.0,Negotiation - 5x5 Conv Entropy,11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
11,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1708237643534698,0.15517460317460316,0.18998334258745142,11945.0,0.7161155295102554,0.7161155295102554,0.7161155295102554,11945.0,0.854118821767349,0.7758730158730158,0.9499167129372571,9005.0,0.6438961900389266,0.5849088746702811,0.7161155295102554,11945.0,Negotiation - Pixelwise Entropy (Weighted),11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
12,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17193317422434368,0.15077438258685644,0.2,11945.0,0.7538719129342822,0.7538719129342821,0.7538719129342821,11945.0,0.8596658711217183,0.7538719129342821,1.0,9005.0,0.6480779547468459,0.5683228611111938,0.7538719129342821,11945.0,Negotiation - Mean Entropy (Weighted),11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
13,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17076140105777865,0.15504213101386247,0.19002776235424762,11945.0,0.7162829635830893,0.7162829635830892,0.7162829635830892,11945.0,0.8538070052888933,0.7752106550693123,0.9501388117712382,9005.0,0.6436611203538287,0.5844095394641404,0.7162829635830892,11945.0,Negotiation - 3x3 Conv Entropy (Weighted),11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
14,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1708273076347679,0.155032585083273,0.19020544142143253,11945.0,0.7169526998744244,0.7169526998744244,0.7169526998744244,11945.0,0.8541365381738394,0.775162925416365,0.9510272071071627,9005.0,0.6439095459401778,0.5843735574193694,0.7169526998744244,11945.0,Negotiation - 5x5 Conv Entropy (Weighted),11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
15,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1721494037646595,0.1547346974931349,0.1939811215991116,11945.0,0.7311845960652994,0.7311845960652993,0.7311845960652993,11945.0,0.8607470188232975,0.7736734874656745,0.969905607995558,9005.0,0.6488930016327998,0.5832507119822854,0.7311845960652993,11945.0,Negotiation - Pixelwise Entropy (Mean-Weighted),11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
16,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17193317422434368,0.15077438258685644,0.2,11945.0,0.7538719129342822,0.7538719129342821,0.7538719129342821,11945.0,0.8596658711217183,0.7538719129342821,1.0,9005.0,0.6480779547468459,0.5683228611111938,0.7538719129342821,11945.0,Negotiation - Mean Entropy (Mean-Weighted),11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
17,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17213494213247968,0.15465486725663719,0.19406996113270406,11945.0,0.731519464210967,0.7315194642109669,0.7315194642109669,11945.0,0.8606747106623984,0.7732743362831859,0.9703498056635202,9005.0,0.6488384905412221,0.5829498031167927,0.7315194642109669,11945.0,Negotiation - 3x3 Conv Entropy (Mean-Weighted),11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
18,0.0,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17221046414332825,0.15464992927864213,0.19426985008328707,11945.0,0.732272917538719,0.7322729175387191,0.7322729175387191,11945.0,0.8610523207166412,0.7732496463932107,0.9713492504164353,9005.0,0.6491231601551573,0.582931190102207,0.7322729175387191,11945.0,Negotiation - 5x5 Conv Entropy (Mean-Weighted),11945,predictions/bcdh/000000100014.npy,datasets/coco_animals/train/seg/000000100014.png
