,bird_f1-score,bird_precision,bird_recall,bird_support,cat_f1-score,cat_precision,cat_recall,cat_support,dog_f1-score,dog_precision,dog_recall,dog_support,horse_f1-score,horse_precision,horse_recall,horse_support,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,other_f1-score,other_precision,other_recall,other_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,non_consensus_px,pred_path,gt_path
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,0.0,0.0,0.0,0.18725528839837077,0.17904522613065327,0.19625447535114293,8096.0,0.8801877470355731,0.8801877470355731,0.8801877470355731,8096.0,0.9362764419918539,0.8952261306532663,0.9812723767557147,7262.0,0.8398270160257958,0.8030054546447652,0.8801877470355731,8096.0,Majority Voting,8096,predictions/bcdh/000000023737.npy,datasets/coco_animals/train/seg/000000023737.png
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,0.0,0.0,0.0,0.18368846436443792,0.17836295239330652,0.1893417791242082,8096.0,0.8491847826086957,0.8491847826086957,0.8491847826086957,8096.0,0.9184423218221895,0.8918147619665326,0.946708895621041,7262.0,0.8238300569506843,0.7999455041256127,0.8491847826086957,8096.0,Mean Proposal,8096,predictions/bcdh/000000023737.npy,datasets/coco_animals/train/seg/000000023737.png
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,0.0,0.0,0.0,0.16748994830557148,0.17497749774977497,0.16061690994216468,8096.0,0.7203557312252964,0.7203557312252964,0.7203557312252964,8096.0,0.8374497415278574,0.8748874887488749,0.8030845497108234,7262.0,0.751180832877384,0.7847619742211376,0.7203557312252964,8096.0,Maximum Proposal,8096,predictions/bcdh/000000023737.npy,datasets/coco_animals/train/seg/000000023737.png
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,0.0,0.0,0.0,0.1774295532646048,0.17711306256860593,0.17774717708620216,8096.0,0.7971837944664032,0.7971837944664032,0.7971837944664032,8096.0,0.8871477663230241,0.8855653128430296,0.8887358854310108,7262.0,0.7957592735965663,0.7943398347166603,0.7971837944664032,8096.0,Weighted Mean - Pixelwise Entropy,8096,predictions/bcdh/000000023737.npy,datasets/coco_animals/train/seg/000000023737.png
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,0.0,0.0,0.0,0.184766715406088,0.17857142857142858,0.19140732580556322,8096.0,0.8584486166007905,0.8584486166007905,0.8584486166007905,8096.0,0.92383357703044,0.8928571428571429,0.957036629027816,7262.0,0.8286659382899031,0.8008805053642011,0.8584486166007905,8096.0,Weighted Mean - Mean Entropy,8096,predictions/bcdh/000000023737.npy,datasets/coco_animals/train/seg/000000023737.png
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,0.0,0.0,0.0,0.1775518615194395,0.17713815789473683,0.17796750206554668,8096.0,0.7981719367588933,0.7981719367588933,0.7981719367588933,8096.0,0.8877593075971975,0.8856907894736842,0.8898375103277334,7262.0,0.7963078176594427,0.7944523855185146,0.7981719367588933,8096.0,Weighted Mean - 3x3 Conv Entropy,8096,predictions/bcdh/000000023737.npy,datasets/coco_animals/train/seg/000000023737.png
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,0.0,0.0,0.0,0.17762823594039687,0.1771538145459526,0.178105205177637,8096.0,0.7987895256916996,0.7987895256916996,0.7987895256916996,8096.0,0.8881411797019844,0.885769072729763,0.8905260258881851,7262.0,0.7966503516546208,0.7945226045162475,0.7987895256916996,8096.0,Weighted Mean - 5x5 Conv Entropy,8096,predictions/bcdh/000000023737.npy,datasets/coco_animals/train/seg/000000023737.png
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,0.0,0.0,0.0,0.1726800505405026,0.1761168384879725,0.16937482787110988,8096.0,0.7596343873517787,0.7596343873517787,0.7596343873517787,8096.0,0.863400252702513,0.8805841924398625,0.8468741393555494,7262.0,0.7744580824018836,0.7898718386237996,0.7596343873517787,8096.0,Negotiation - Pixelwise Entropy,8096,predictions/bcdh/000000023737.npy,datasets/coco_animals/train/seg/000000023737.png
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,0.0,0.0,0.0,0.1868772622573215,0.17897390646665828,0.19551087854585514,8096.0,0.876852766798419,0.876852766798419,0.876852766798419,8096.0,0.9343863112866075,0.8948695323332914,0.9775543927292757,7262.0,0.838131594931243,0.8026855908849262,0.876852766798419,8096.0,Negotiation - Mean Entropy,8096,predictions/bcdh/000000023737.npy,datasets/coco_animals/train/seg/000000023737.png
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,0.0,0.0,0.0,0.0,0.17275980632938037,0.17613392473887537,0.16951253098320024,8096.0,0.760251976284585,0.760251976284585,0.760251976284585,8096.0,0.8637990316469019,0.8806696236943768,0.8475626549160011,7262.0,0.7748157815982957,0.7899484692772436,0.760251976284585,8096.0,Negotiation - 3x3 Conv Entropy,8096,predictions/bcdh/000000023737.npy,datasets/coco_animals/train/seg/000000023737.png
