,accuracy,bird_f1-score,bird_precision,bird_recall,bird_support,cat_f1-score,cat_precision,cat_recall,cat_support,dog_f1-score,dog_precision,dog_recall,dog_support,horse_f1-score,horse_precision,horse_recall,horse_support,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,other_f1-score,other_precision,other_recall,other_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,a,b,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support
0,0.7122666666666665,0.33365373684725885,1.0,0.20074074074074078,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25579806897717045,0.37928249968730265,0.24014814814814808,625.0,0.9453366080385934,0.8964124984365134,1.0,400.0,0.7251307744097131,0.9337039989993684,0.7122666666666665,625.0,Majority Voting,0.2,0.2,,,,
1,0.7090133333333333,0.32130191807078423,1.0,0.19170370370370365,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25376132278676267,0.3800651803623406,0.23834074074074077,625.0,0.9475046958630288,0.9003259018117028,1.0,400.0,0.7220716958578208,0.93620857715949,0.7090133333333333,625.0,Mean Proposal,0.2,0.2,,,,
2,0.7131199999999999,0.3367840252307484,1.0,0.2031111111111111,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25698628568755133,0.38029944064194243,0.2406222222222222,625.0,0.9481474032070079,0.9014972032097117,1.0,400.0,0.7280565871355547,0.9369582100542154,0.7131199999999999,625.0,Maximum Proposal,0.2,0.2,,,,
3,0.7102933333333332,0.32602420451579583,1.0,0.1952592592592593,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25459281949948875,0.3798599477552787,0.23905185185185188,625.0,0.9469398929816476,0.8992997387763932,1.0,400.0,0.7234102451339414,0.9355518328168917,0.7102933333333332,625.0,Weighted Mean - Pixelwise Entropy,0.2,0.2,,,,
4,0.7129066666666667,0.3358935476110364,1.0,0.2025185185185185,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25594385420692206,0.37874429510922436,0.24050370370370366,625.0,0.9438257234235738,0.8937214755461211,1.0,400.0,0.7249701401310605,0.9319817443495174,0.7129066666666667,625.0,Weighted Mean - Mean Entropy,0.2,0.2,,,,
5,0.7163200000000001,0.3493424137789832,1.0,0.21200000000000002,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25939641909429956,0.3801091250069746,0.2424,625.0,0.9476396816925149,0.900545625034873,1.0,400.0,0.7322526652436436,0.9363492000223185,0.7163200000000001,625.0,Weighted Mean - 3x3 Conv Entropy,0.2,0.2,,,,
6,0.71024,0.32576862674466844,1.0,0.19511111111111112,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545790823298577,0.3799274571342922,0.23902222222222227,625.0,0.9471267849046201,0.8996372856714608,1.0,400.0,0.7234378479670376,0.935767862829735,0.71024,625.0,Weighted Mean - 5x5 Conv Entropy,0.2,0.2,,,,
7,0.7121600000000001,0.33319416683598985,1.0,0.20044444444444445,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2562447019983465,0.38025499691547954,0.24008888888888888,625.0,0.9480293431557425,0.9012749845773972,1.0,400.0,0.7266886796806314,0.9368159901295343,0.7121600000000001,625.0,Negotiation - Pixelwise Entropy,0.2,0.2,,,,
8,0.7116266666666667,0.33131063586422715,1.0,0.19896296296296298,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2556050588127287,0.3797782481941227,0.23979259259259253,625.0,0.9467146581994164,0.8988912409706138,1.0,400.0,0.7251692101587482,0.935290394221193,0.7116266666666667,625.0,Negotiation - Mean Entropy,0.2,0.2,,,,
9,0.71008,0.3252520562421087,1.0,0.19466666666666668,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2542423656848538,0.37950353946762544,0.23893333333333333,625.0,0.9459597721821602,0.8975176973381274,1.0,400.0,0.7225049944437418,0.9344113262964014,0.71008,625.0,Negotiation - 3x3 Conv Entropy,0.2,0.2,,,,
10,0.7127999999999999,0.33555234415896723,1.0,0.20222222222222222,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2568730245715354,0.3805371997082183,0.2404444444444444,625.0,0.9488127786987094,0.9026859985410913,1.0,400.0,0.7280390222644022,0.9377190390662983,0.7127999999999999,625.0,Negotiation - 5x5 Conv Entropy,0.2,0.2,,,,
11,0.6846399999999998,0.22004481678412582,1.0,0.12400000000000001,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2373993130730864,0.3872136908439216,0.22479999999999997,625.0,0.9669517485813061,0.9360684542196083,1.0,400.0,0.6980652531343214,0.9590838107005493,0.6846399999999998,625.0,Majority Voting,0.2,0.2889,,,,
