,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,Label 2_f1-score,Label 2_precision,Label 2_recall,Label 2_support,Label 3_f1-score,Label 3_precision,Label 3_recall,Label 3_support,Label 4_f1-score,Label 4_precision,Label 4_recall,Label 4_support,accuracy,gamma_unbalanced,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_star_unbalanced,mu_unbalanced,non_consensus_px,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
14,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy (Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
15,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Weighted Mean - 3x3 Conv Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
16,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Weighted Mean - 5x5 Conv Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
17,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Weighted Mean - Mean Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
18,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Weighted Mean - Pixelwise Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
19,0.770811856010484,0.9185535114414638,0.6645742836220923,364.8333333333333,0.5639326550212872,0.4943784413618753,0.6594272743838121,63.3,0.5523392832168521,0.47260529367938614,0.6670541493890582,63.46666666666667,0.5576993257547234,0.47812566304464127,0.6709306772682633,63.3,0.5600491580756402,0.47778666225840627,0.6794872205154464,63.333333333333336,0.6664931138576072,0.6,0.6009664556157974,0.5682899143571544,0.6682947210357343,618.2333333333333,Majority Voting,,,,,0.2000002,0.5,618.2333333333333,0.01,1,0.6838043066479541,0.7391055041642948,0.6664931138576072,618.2333333333333
20,0.6224842139256297,0.8513380841907039,0.491124330025395,364.8333333333333,0.3771132812640656,0.30623939569215075,0.49339059776328414,63.3,0.3847623579248471,0.3122964791131123,0.5031810779059259,63.46666666666667,0.3806085045039701,0.31109767440732594,0.49166823179415725,63.3,0.38325814257652974,0.3108173367693044,0.5025889656938044,63.333333333333336,0.49378014227946665,0.6,0.42964530003900847,0.4183577940345195,0.4963906406365134,618.2333333333333,Maximum Proposal,,,,,0.2000002,0.5,618.2333333333333,0.01,1,0.5236593068876518,0.629492050187526,0.49378014227946665,618.2333333333333
21,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Mean Proposal,,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
22,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - 3x3 Conv Entropy,,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
23,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - 3x3 Conv Entropy (Mean-Weighted),,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
