,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,non_consensus_px,method,unbalanced_agents,mu_balanced,mu_1_unbalanced,mu_2_unbalanced,std
21,1.0,1.0,1.0,197.63333333333333,1.0,1.0,1.0,111.43333333333334,1.0,1.0,1.0,1.0,309.06666666666666,1.0,1.0,1.0,309.06666666666666,309.06666666666666,Weighted Mean - Pixelwise Entropy,2,0.6,0.6,0.5,0.01
22,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Majority Voting,2,0.6,0.75,0.4,0.01
23,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Maximum Proposal,2,0.6,0.75,0.4,0.01
24,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Mean Proposal,2,0.6,0.75,0.4,0.01
25,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.75,0.4,0.01
26,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.75,0.4,0.01
27,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Mean Entropy,2,0.6,0.75,0.4,0.01
28,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Pixelwise Entropy,2,0.6,0.75,0.4,0.01
29,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.75,0.4,0.01
30,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.75,0.4,0.01
31,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - Mean Entropy,2,0.6,0.75,0.4,0.01
32,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.75,0.4,0.01
33,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Majority Voting,2,0.6,0.75,0.5,0.01
34,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Maximum Proposal,2,0.6,0.75,0.5,0.01
35,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Mean Proposal,2,0.6,0.75,0.5,0.01
36,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Negotiation - 3x3 Conv Entropy,2,0.6,0.75,0.5,0.01
37,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Negotiation - 5x5 Conv Entropy,2,0.6,0.75,0.5,0.01
38,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Negotiation - Mean Entropy,2,0.6,0.75,0.5,0.01
39,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Negotiation - Pixelwise Entropy,2,0.6,0.75,0.5,0.01
40,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.75,0.5,0.01
41,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.75,0.5,0.01
42,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Weighted Mean - Mean Entropy,2,0.6,0.75,0.5,0.01
43,1.0,1.0,1.0,205.03333333333333,1.0,1.0,1.0,112.4,1.0,1.0,1.0,1.0,317.43333333333334,1.0,1.0,1.0,317.43333333333334,317.43333333333334,Weighted Mean - Pixelwise Entropy,2,0.6,0.75,0.5,0.01
44,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Majority Voting,2,0.6,0.9,0.4,0.01
45,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Maximum Proposal,2,0.6,0.9,0.4,0.01
46,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Mean Proposal,2,0.6,0.9,0.4,0.01
47,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.9,0.4,0.01
48,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.9,0.4,0.01
49,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Mean Entropy,2,0.6,0.9,0.4,0.01
50,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Pixelwise Entropy,2,0.6,0.9,0.4,0.01
51,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.9,0.4,0.01
52,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.9,0.4,0.01
53,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - Mean Entropy,2,0.6,0.9,0.4,0.01
54,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.9,0.4,0.01
55,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Majority Voting,2,0.6,0.9,0.5,0.01
56,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Maximum Proposal,2,0.6,0.9,0.5,0.01
57,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Mean Proposal,2,0.6,0.9,0.5,0.01
