,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,non_consensus_px,method,unbalanced_agents,mu_balanced,mu_1_unbalanced,mu_2_unbalanced,std
0,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Majority Voting,2,0.6,0.6,0.4,0.01
1,0.6585621522556954,0.6472509746040853,0.6707777777777778,300.0,0.673346557504417,0.6855293071896938,0.662051282051282,325.0,0.6662399999999999,0.665954354880056,0.6663901408968896,0.66641452991453,625.0,0.6662500429850305,0.6671557075486019,0.6662399999999999,625.0,625.0,Maximum Proposal,2,0.6,0.6,0.4,0.01
2,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Mean Proposal,2,0.6,0.6,0.4,0.01
3,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.6,0.4,0.01
4,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.6,0.4,0.01
5,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Mean Entropy,2,0.6,0.6,0.4,0.01
6,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Pixelwise Entropy,2,0.6,0.6,0.4,0.01
7,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.6,0.4,0.01
8,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.6,0.4,0.01
9,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - Mean Entropy,2,0.6,0.6,0.4,0.01
10,0.9961099777775105,0.9965625127647412,0.9956666666666665,300.0,0.9964111856772596,0.9960097066320679,0.996820512820513,325.0,0.9962666666666667,0.9962605817273852,0.9962861096984045,0.9962435897435896,625.0,0.9962666058853801,0.9962750535757512,0.9962666666666667,625.0,625.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.6,0.4,0.01
11,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Majority Voting,2,0.6,0.6,0.5,0.01
12,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Maximum Proposal,2,0.6,0.6,0.5,0.01
13,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Mean Proposal,2,0.6,0.6,0.5,0.01
14,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Negotiation - 3x3 Conv Entropy,2,0.6,0.6,0.5,0.01
15,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Negotiation - 5x5 Conv Entropy,2,0.6,0.6,0.5,0.01
16,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Negotiation - Mean Entropy,2,0.6,0.6,0.5,0.01
17,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Negotiation - Pixelwise Entropy,2,0.6,0.6,0.5,0.01
18,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.6,0.5,0.01
19,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.6,0.5,0.01
20,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Weighted Mean - Mean Entropy,2,0.6,0.6,0.5,0.01
21,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,160.86666666666667,1.0,1.0,1.0,1.0,311.53333333333336,1.0,1.0,1.0,311.53333333333336,311.53333333333336,Weighted Mean - Pixelwise Entropy,2,0.6,0.6,0.5,0.01
22,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Majority Voting,2,0.6,0.75,0.4,0.01
23,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Maximum Proposal,2,0.6,0.75,0.4,0.01
24,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Mean Proposal,2,0.6,0.75,0.4,0.01
25,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.75,0.4,0.01
26,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.75,0.4,0.01
27,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Mean Entropy,2,0.6,0.75,0.4,0.01
