,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,Label 2_f1-score,Label 2_precision,Label 2_recall,Label 2_support,Label 3_f1-score,Label 3_precision,Label 3_recall,Label 3_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_expert,mu_star_expert,non_consensus_px,std,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.2681326218051993,0.28459217736838854,0.25399910467626996,172.46666666666667,0.24224474957709838,0.23581336892758428,0.24966467400505613,147.86666666666667,0.251448561464652,0.24777524975167148,0.25635841057670505,148.06666666666666,0.240770300020652,0.23652539226624433,0.2457722585587317,147.53333333333333,0.2515669943292903,0.2506490582169005,0.25117654707847215,0.2514486119541907,615.9333333333333,Majority Voting,,,,,0.25,0.25000025,615.9333333333333,0.01,0.25136730944711316,0.25253743797068484,0.2515669943292903,615.9333333333333
1,0.2652665406009399,0.28062408401138494,0.2518791713332958,172.46666666666667,0.24128321286946322,0.23640697926658255,0.24703917476669388,147.86666666666667,0.23966346860473176,0.23847549358061695,0.24157248396003467,148.06666666666666,0.24425296085473544,0.2376345148460037,0.25167405203963195,147.53333333333333,0.24815305541169155,0.24761654573246758,0.24828526792614702,0.2480412205249141,615.9333333333333,Maximum Proposal,,,,,0.25,0.25000025,615.9333333333333,0.01,0.24829822648146155,0.24957202481148574,0.24815305541169155,615.9333333333333
2,0.2629985307435453,0.280800604588081,0.2477286440937817,172.46666666666667,0.2426721626768658,0.23703555258136091,0.24906996819307892,147.86666666666667,0.24162590873217382,0.2371306377654503,0.24691155662358916,148.06666666666666,0.2364788545452902,0.2319202843105355,0.24161310266118313,147.53333333333333,0.24639423846864442,0.24594386417446873,0.24672176981135696,0.24633081789290825,615.9333333333333,Mean Proposal,,,,,0.25,0.25000025,615.9333333333333,0.01,0.24664250176173141,0.2481116747663484,0.24639423846864442,615.9333333333333
3,0.2629985307435453,0.280800604588081,0.2477286440937817,172.46666666666667,0.2426721626768658,0.23703555258136091,0.24906996819307892,147.86666666666667,0.24162590873217382,0.2371306377654503,0.24691155662358916,148.06666666666666,0.2364788545452902,0.2319202843105355,0.24161310266118313,147.53333333333333,0.24639423846864442,0.24594386417446873,0.24672176981135696,0.24633081789290825,615.9333333333333,Negotiation - 3x3 Conv Entropy,,,,,0.25,0.25000025,615.9333333333333,0.01,0.24664250176173141,0.2481116747663484,0.24639423846864442,615.9333333333333
4,0.26283399603718,0.28068083443160124,0.24753484564416928,172.46666666666667,0.24249963912821657,0.23691110344892788,0.24884625454654644,147.86666666666667,0.24162590873217382,0.2371306377654503,0.24691155662358916,148.06666666666666,0.23638036902648665,0.23172811132632873,0.24161310266118313,147.53333333333333,0.2462853913770387,0.24583497823101425,0.24661267174307705,0.24622643986887202,615.9333333333333,Negotiation - 3x3 Conv Entropy (Mean-Weighted),,,,,0.25,0.25000025,615.9333333333333,0.01,0.24653034125091186,0.24800091832763116,0.2462853913770387,615.9333333333333
5,0.26312456530305456,0.2792327791201083,0.24928791684213703,172.46666666666667,0.23935869015994174,0.23488115996065517,0.24456130411838525,147.86666666666667,0.24336080137079993,0.23921900398354748,0.2482554806611176,148.06666666666666,0.2401377162480322,0.23532386059223395,0.24569232445492709,147.53333333333333,0.2470433231139563,0.24649544327045708,0.24716420091413624,0.24694925651914176,615.9333333333333,Negotiation - 3x3 Conv Entropy (Weighted),,,,,0.25,0.25000025,615.9333333333333,0.01,0.24717411859493918,0.2484743378086828,0.2470433231139563,615.9333333333333
6,0.2629985307435453,0.280800604588081,0.2477286440937817,172.46666666666667,0.24269983932841674,0.23708730005369594,0.24906996819307892,147.86666666666667,0.24162590873217382,0.2371306377654503,0.24691155662358916,148.06666666666666,0.23645324422885214,0.23186889063498073,0.24161310266118313,147.53333333333333,0.24639423846864442,0.24594438075824696,0.24672185826055204,0.24633081789290825,615.9333333333333,Negotiation - 5x5 Conv Entropy,,,,,0.25,0.25000025,615.9333333333333,0.01,0.24664295738332537,0.24811167634073528,0.24639423846864442,615.9333333333333
7,0.2629985307435453,0.280800604588081,0.2477286440937817,172.46666666666667,0.24249963912821657,0.23691110344892788,0.24884625454654644,147.86666666666667,0.24162590873217382,0.2371306377654503,0.24691155662358916,148.06666666666666,0.23642925283479738,0.23182074352225437,0.24161310266118313,147.53333333333333,0.24634012591453183,0.24588833285968323,0.24666577233117842,0.24627488948127513,615.9333333333333,Negotiation - 5x5 Conv Entropy (Mean-Weighted),,,,,0.25,0.25000025,615.9333333333333,0.01,0.24658880711586448,0.24805756770488915,0.24634012591453183,615.9333333333333
8,0.26230797060244554,0.2788011792138941,0.2480924218425654,172.46666666666667,0.23932884672745533,0.234853540433432,0.2443363412076799,147.86666666666667,0.2426400945561667,0.237834200621617,0.24826018121344273,148.06666666666666,0.23911041912852712,0.2344958446834642,0.2443207406624486,147.53333333333333,0.24634029301374444,0.2458468327536487,0.2464961912381018,0.24625242123153418,615.9333333333333,Negotiation - 5x5 Conv Entropy (Weighted),,,,,0.25,0.25000025,615.9333333333333,0.01,0.2465297186876533,0.24782459990103758,0.24634029301374444,615.9333333333333
9,0.2629985307435453,0.280800604588081,0.2477286440937817,172.46666666666667,0.2426721626768658,0.23703555258136091,0.24906996819307892,147.86666666666667,0.24162590873217382,0.2371306377654503,0.24691155662358916,148.06666666666666,0.2364788545452902,0.2319202843105355,0.24161310266118313,147.53333333333333,0.24639423846864442,0.24594386417446873,0.24672176981135696,0.24633081789290825,615.9333333333333,Negotiation - Mean Entropy,,,,,0.25,0.25000025,615.9333333333333,0.01,0.24664250176173141,0.2481116747663484,0.24639423846864442,615.9333333333333
