,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,Label 2_f1-score,Label 2_precision,Label 2_recall,Label 2_support,Label 3_f1-score,Label 3_precision,Label 3_recall,Label 3_support,Label 4_f1-score,Label 4_precision,Label 4_recall,Label 4_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_expert,mu_star_expert,non_consensus_px,std,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.2900145863074022,0.5782136006926033,0.19403246855899664,368.53333333333336,0.1492872993455496,0.11271581515175612,0.2218544653524492,63.86666666666667,0.1359816975354863,0.10400231901141772,0.19695767195767197,63.96666666666667,0.13092371710315026,0.09833615399322806,0.19639550264550268,63.833333333333336,0.13098942587396975,0.09901610589228886,0.19440310846560846,63.96666666666667,0.19744081039649522,0.16743934523311163,0.19845679894825882,0.20072864339604574,624.1666666666666,Majority Voting,,,,,0.2,0.2000002,624.1666666666666,0.01,0.22725028089809604,0.3837895574644657,0.19744081039649522,624.1666666666666
1,0.30137160042882394,0.6011777654431073,0.20161809374018344,368.53333333333336,0.13781319430746874,0.10393143346338585,0.20512966163167778,63.86666666666667,0.1342486448793798,0.10172556798573719,0.1979828042328042,63.96666666666667,0.13988846831253623,0.10561381875734648,0.2078455687830688,63.833333333333336,0.13940182189544864,0.10562182710644631,0.20581183862433863,63.96666666666667,0.20267321729520724,0.1705447459647315,0.20361408255120458,0.2036775934024146,624.1666666666666,Maximum Proposal,,,,,0.2,0.2000002,624.1666666666666,0.01,0.2343972876146139,0.3976442609868129,0.20267321729520724,624.1666666666666
2,0.29427523397623917,0.5833327647297923,0.19736405865021295,368.53333333333336,0.13390221309825484,0.10229117792346469,0.19465379117596857,63.86666666666667,0.12584745950924078,0.09579561658810666,0.18443287037037034,63.96666666666667,0.13707005645379455,0.10330503508627711,0.20422453703703705,63.833333333333336,0.13914101662183095,0.1045800014571851,0.2089616402116402,63.96666666666667,0.1976526190112259,0.16604719593187203,0.1978609191569652,0.19792737948904582,624.1666666666666,Mean Proposal,,,,,0.2,0.2000002,624.1666666666666,0.01,0.22863245269056712,0.3859921774998124,0.1976526190112259,624.1666666666666
3,0.29438629948074213,0.5834239016630345,0.19745513333145157,368.53333333333336,0.13390221309825484,0.10229117792346469,0.19465379117596857,63.86666666666667,0.1258780438500583,0.09582993506355884,0.18443287037037034,63.96666666666667,0.13705791390021552,0.10329054863111269,0.20422453703703705,63.833333333333336,0.13916537823678451,0.10461058249694045,0.2089616402116402,63.96666666666667,0.19770620957928595,0.16607796971321107,0.1978892291556223,0.19794559442529355,624.1666666666666,Negotiation - 3x3 Conv Entropy,,,,,0.2,0.2000002,624.1666666666666,0.01,0.22870220144791656,0.3860509820995114,0.19770620957928595,624.1666666666666
4,0.2944069132771438,0.5835878145924863,0.19745513333145157,368.53333333333336,0.1339367035618233,0.10233251349867123,0.19465379117596857,63.86666666666667,0.12584580400070167,0.09579385069948003,0.18443287037037034,63.96666666666667,0.13704362240674195,0.10327567513325303,0.20422453703703705,63.833333333333336,0.1394830604907635,0.10483600915685276,0.20948247354497354,63.96666666666667,0.19775954291261927,0.16614322074743484,0.19796517261614874,0.1980497610919602,624.1666666666666,Negotiation - 3x3 Conv Entropy (Mean-Weighted),,,,,0.2,0.2000002,624.1666666666666,0.01,0.22874566741182606,0.3861698528566188,0.19775954291261927,624.1666666666666
5,0.29590836965934,0.5901021235759474,0.19790826931829997,368.53333333333336,0.13664840353594557,0.10433608212980919,0.19884605948114012,63.86666666666667,0.12832098163470987,0.09769035633118947,0.1880704365079365,63.96666666666667,0.14225702806261165,0.10683215224759872,0.21358300264550265,63.833333333333336,0.13628707693368203,0.10255555392727786,0.204265873015873,63.96666666666667,0.19925595371514734,0.16788437196525788,0.20030325364236448,0.20053472819375048,624.1666666666666,Negotiation - 3x3 Conv Entropy (Weighted),,,,,0.2,0.2000002,624.1666666666666,0.01,0.23037111741500507,0.39054548200910555,0.19925595371514734,624.1666666666666
6,0.29438629948074213,0.5834239016630345,0.19745513333145157,368.53333333333336,0.13390221309825484,0.10229117792346469,0.19465379117596857,63.86666666666667,0.12584745950924078,0.09579561658810666,0.18443287037037034,63.96666666666667,0.13707005645379455,0.10330503508627711,0.20422453703703705,63.833333333333336,0.13916537823678451,0.10461058249694045,0.2089616402116402,63.96666666666667,0.19770620957928595,0.16607428135576335,0.1978852627515647,0.19794559442529355,624.1666666666666,Negotiation - 5x5 Conv Entropy,,,,,0.2,0.2000002,624.1666666666666,0.01,0.22870031300890334,0.38604895130063394,0.19770620957928595,624.1666666666666
7,0.29438629948074213,0.5834239016630345,0.19745513333145157,368.53333333333336,0.13390221309825484,0.10229117792346469,0.19465379117596857,63.86666666666667,0.12584745950924078,0.09579561658810666,0.18443287037037034,63.96666666666667,0.13707005645379455,0.10330503508627711,0.20422453703703705,63.833333333333336,0.13916537823678451,0.10461058249694045,0.2089616402116402,63.96666666666667,0.19770620957928595,0.16607428135576335,0.1978852627515647,0.19794559442529355,624.1666666666666,Negotiation - 5x5 Conv Entropy (Mean-Weighted),,,,,0.2,0.2000002,624.1666666666666,0.01,0.22870031300890334,0.38604895130063394,0.19770620957928595,624.1666666666666
8,0.29487411684528736,0.585872509325954,0.19754668957358806,368.53333333333336,0.13630179271379853,0.10419070902007777,0.19782092720600783,63.86666666666667,0.12784430649618403,0.09740049537078924,0.18703703703703703,63.96666666666667,0.13790880159261168,0.10345478402779948,0.20731646825396824,63.833333333333336,0.14320773814455456,0.1078854824801343,0.21416997354497355,63.96666666666667,0.1992021938571803,0.1680273511584872,0.19976079604495092,0.20077821912311497,624.1666666666666,Negotiation - 5x5 Conv Entropy (Weighted),,,,,0.2,0.2000002,624.1666666666666,0.01,0.22993897957769543,0.3882055112469605,0.1992021938571803,624.1666666666666
9,0.29427523397623917,0.5833327647297923,0.19736405865021295,368.53333333333336,0.13390221309825484,0.10229117792346469,0.19465379117596857,63.86666666666667,0.12584745950924078,0.09579561658810666,0.18443287037037034,63.96666666666667,0.13707005645379455,0.10330503508627711,0.20422453703703705,63.833333333333336,0.13914101662183095,0.1045800014571851,0.2089616402116402,63.96666666666667,0.1976526190112259,0.16604719593187203,0.1978609191569652,0.19792737948904582,624.1666666666666,Negotiation - Mean Entropy,,,,,0.2,0.2000002,624.1666666666666,0.01,0.22863245269056712,0.3859921774998124,0.1976526190112259,624.1666666666666
