,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_1_unbalanced,mu_2_unbalanced,mu_balanced,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Majority Voting,,,,,0.6,0.4,0.6,2,0.0,0.0,0.0,225.0
1,0.0,0.0,0.0,0.0,0.7666666666666667,0.7666666666666667,0.7666666666666667,225.0,0.0,0.38333333333333336,0.38333333333333336,0.38333333333333336,225.0,Maximum Proposal,1.0,1.0,1.0,225.0,0.6,0.4,0.6,2,0.7666666666666667,0.7666666666666667,0.7666666666666667,225.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Mean Proposal,,,,,0.6,0.4,0.6,2,0.0,0.0,0.0,225.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Negotiation - 3x3 Conv Entropy,,,,,0.6,0.4,0.6,2,0.0,0.0,0.0,225.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Negotiation - 5x5 Conv Entropy,,,,,0.6,0.4,0.6,2,0.0,0.0,0.0,225.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Negotiation - Mean Entropy,,,,,0.6,0.4,0.6,2,0.0,0.0,0.0,225.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Negotiation - Pixelwise Entropy,,,,,0.6,0.4,0.6,2,0.0,0.0,0.0,225.0
7,0.0,0.0,0.0,0.0,0.02859560067681895,0.03333333333333333,0.025037037037037035,225.0,0.025037037037037035,0.014297800338409475,0.016666666666666666,0.012518518518518517,225.0,Weighted Mean - 3x3 Conv Entropy,,,,,0.6,0.4,0.6,2,0.02859560067681895,0.03333333333333333,0.025037037037037035,225.0
8,0.0,0.0,0.0,0.0,0.028205128205128202,0.03333333333333333,0.024444444444444442,225.0,0.024444444444444442,0.014102564102564101,0.016666666666666666,0.012222222222222221,225.0,Weighted Mean - 5x5 Conv Entropy,,,,,0.6,0.4,0.6,2,0.028205128205128202,0.03333333333333333,0.024444444444444442,225.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Weighted Mean - Mean Entropy,,,,,0.6,0.4,0.6,2,0.0,0.0,0.0,225.0
10,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,225.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,225.0,Weighted Mean - Pixelwise Entropy,1.0,1.0,1.0,225.0,0.6,0.4,0.6,2,0.03333333333333333,0.03333333333333333,0.03333333333333333,225.0
11,0.23333333333333334,0.23333333333333334,0.23333333333333334,93.33333333333333,0.7666666666666667,0.7666666666666667,0.7666666666666667,225.0,0.5,0.5,0.5,0.5,318.3333333333333,Majority Voting,1.0,1.0,1.0,225.0,0.6,0.5,0.6,2,0.7666666666666667,0.7666666666666667,0.7666666666666667,318.3333333333333
12,0.23333333333333334,0.23333333333333334,0.23333333333333334,93.33333333333333,1.0,1.0,1.0,225.0,1.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,318.3333333333333,Maximum Proposal,1.0,1.0,1.0,225.0,0.6,0.5,0.6,2,1.0,1.0,1.0,318.3333333333333
13,0.23333333333333334,0.23333333333333334,0.23333333333333334,93.33333333333333,1.0,1.0,1.0,225.0,1.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,318.3333333333333,Mean Proposal,1.0,1.0,1.0,225.0,0.6,0.5,0.6,2,1.0,1.0,1.0,318.3333333333333
14,0.23333333333333334,0.23333333333333334,0.23333333333333334,93.33333333333333,1.0,1.0,1.0,225.0,1.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,318.3333333333333,Negotiation - 3x3 Conv Entropy,1.0,1.0,1.0,225.0,0.6,0.5,0.6,2,1.0,1.0,1.0,318.3333333333333
15,0.23333333333333334,0.23333333333333334,0.23333333333333334,93.33333333333333,1.0,1.0,1.0,225.0,1.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,318.3333333333333,Negotiation - 5x5 Conv Entropy,1.0,1.0,1.0,225.0,0.6,0.5,0.6,2,1.0,1.0,1.0,318.3333333333333
16,0.23333333333333334,0.23333333333333334,0.23333333333333334,93.33333333333333,1.0,1.0,1.0,225.0,1.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,318.3333333333333,Negotiation - Mean Entropy,1.0,1.0,1.0,225.0,0.6,0.5,0.6,2,1.0,1.0,1.0,318.3333333333333
17,0.23333333333333334,0.23333333333333334,0.23333333333333334,93.33333333333333,1.0,1.0,1.0,225.0,1.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,318.3333333333333,Negotiation - Pixelwise Entropy,1.0,1.0,1.0,225.0,0.6,0.5,0.6,2,1.0,1.0,1.0,318.3333333333333
