,accuracy,bird_f1-score,bird_precision,bird_recall,bird_support,cat_f1-score,cat_precision,cat_recall,cat_support,dog_f1-score,dog_precision,dog_recall,dog_support,horse_f1-score,horse_precision,horse_recall,horse_support,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,other_f1-score,other_precision,other_recall,other_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,a,b,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support
0,0.7125333333333335,0.33469177350268225,1.0,0.20148148148148148,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25617998111256773,0.3796008923077251,0.24029629629629637,625.0,0.9462081320601564,0.8980044615386248,1.0,400.0,0.7260622429794655,0.9347228553847199,0.7125333333333335,625.0,Majority Voting,0.2,0.2,,,,
1,0.7155733333333332,0.34637247690115236,1.0,0.20992592592592596,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25875028757603935,0.38002754666392763,0.24198518518518528,625.0,0.9473789609790443,0.9001377333196382,1.0,400.0,0.7310166267110034,0.9360881493245686,0.7155733333333332,625.0,Mean Proposal,0.2,0.2,,,,
2,0.7149866666666667,0.3438554908834596,1.0,0.20829629629629628,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2581552413052386,0.37984676063284295,0.24165925925925924,625.0,0.9469207156427335,0.8992338031642143,1.0,400.0,0.7298172347293951,0.9355096340250971,0.7149866666666667,625.0,Maximum Proposal,0.2,0.2,,,,
3,0.7125333333333334,0.33462389482623073,1.0,0.20148148148148148,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2565997140317992,0.3803824865614854,0.2402962962962963,625.0,0.9483746753327653,0.9019124328074268,1.0,400.0,0.7274243943504131,0.9372239569967533,0.7125333333333334,625.0,Weighted Mean - Pixelwise Entropy,0.2,0.2,,,,
4,0.7134933333333335,0.3381502391143796,1.0,0.20414814814814813,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25741315992180314,0.3805712430830648,0.24082962962962962,625.0,0.9489155604946363,0.9028562154153241,1.0,400.0,0.7290400447977439,0.9378279778658077,0.7134933333333335,625.0,Weighted Mean - Mean Entropy,0.2,0.2,,,,
5,0.7114133333333333,0.3303622830336372,1.0,0.19837037037037042,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25523310115018144,0.3794447681765767,0.2396740740740741,625.0,0.9458032227172697,0.8972238408828835,1.0,400.0,0.724244484431162,0.9342232581650456,0.7114133333333333,625.0,Weighted Mean - 3x3 Conv Entropy,0.2,0.2,,,,
6,0.7147199999999999,0.34279093112547243,1.0,0.2075555555555556,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25796140391650196,0.3798879069744129,0.2415111111111111,625.0,0.9470160884570379,0.8994395348720641,1.0,400.0,0.7294950318176743,0.935641302318121,0.7147199999999999,625.0,Weighted Mean - 5x5 Conv Entropy,0.2,0.2,,,,
7,0.7139200000000001,0.3396430269134292,1.0,0.20533333333333334,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256906189080924,0.3791205454821958,0.24106666666666665,625.0,0.9448879184911905,0.8956027274109789,1.0,400.0,0.7269997575231961,0.9331857455430265,0.7139200000000001,625.0,Negotiation - Pixelwise Entropy,0.2,0.2,,,,
8,0.7146133333333334,0.3429363981435631,1.0,0.20725925925925923,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2584460720464111,0.3807093273979824,0.2414518518518519,625.0,0.9492939620884923,0.9035466369899118,1.0,400.0,0.7310052390683179,0.9382698476735436,0.7146133333333334,625.0,Negotiation - Mean Entropy,0.2,0.2,,,,
9,0.7110400000000002,0.32868156843433066,1.0,0.19733333333333333,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25456238323093355,0.37885582715323096,0.23946666666666663,625.0,0.9441303477203368,0.8942791357661548,1.0,400.0,0.7225687871773746,0.9323386468903389,0.7110400000000002,625.0,Negotiation - 3x3 Conv Entropy,0.2,0.2,,,,
10,0.7128533333333333,0.3357044730736797,1.0,0.20237037037037042,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25654581382392583,0.379893639917743,0.24047407407407412,625.0,0.9470245960459496,0.8994681995887147,1.0,400.0,0.7269493517759326,0.9356596477367773,0.7128533333333333,625.0,Negotiation - 5x5 Conv Entropy,0.2,0.2,,,,
11,0.6750933333333332,0.17704396502280517,1.0,0.09748148148148147,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22989532401425788,0.3892776936258255,0.2194962962962963,625.0,0.972432655048484,0.9463884681291278,1.0,400.0,0.6860927266392397,0.965688619602642,0.6750933333333332,625.0,Majority Voting,0.2,0.2889,,,,
