,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tv
xception_coco_voctrainaug,0.9378535272418737,0.8692874576296434,0.660364953653309,0.8745784302814007,0.8178807378997591,0.7831493144962591,0.9517802086338796,0.8411307398498705,0.9118559938211266,0.6968387191903305,0.898780160020127,0.784880019706426,0.8986158891506011,0.8777780081619289,0.8688143945936336,0.8676199084832927,0.7338996132011995,0.8558934823777701,0.7970481714563943,0.9287634142992656,0.8783252218207623
mobilenetv2_coco_voctrainaug,0.9176273093690922,0.8333512057687451,0.6429945780053169,0.8440072507103837,0.7592508666154532,0.7560848483915318,0.9120238832256409,0.7855177439460651,0.8824759539997659,0.6565209573310881,0.8708113379623746,0.8088257031835989,0.8091678933769463,0.8494537403244806,0.8316609967235395,0.8307819054826974,0.6997950332302759,0.8606411639148642,0.7637321405005303,0.8819574994595212,0.7856813110106378
mobilenetv2_coco_voctrainval,0.9383085981562627,0.8657460462302248,0.685466695823649,0.8644520577457732,0.8351606217123557,0.7780066633391944,0.9136977280971782,0.7999081641146337,0.9173994438366048,0.7037103847222006,0.8860635725019841,0.8237242239583265,0.885137708939124,0.857735476478781,0.8503145990633058,0.8382238132227885,0.7349999039212541,0.8574979447369951,0.7985417199687327,0.9204795184399803,0.8220183286473426
xception_coco_voctrainval,0.9608725944856632,0.8942597519316408,0.7130734478325389,0.8949634455924597,0.8653522570391272,0.8200683543640297,0.9385916171932616,0.8410841502698326,0.9512892880842274,0.7452768567626968,0.9092793335955823,0.8474715916018547,0.9180959864122485,0.8828792536363471,0.8812848339664459,0.8674649083329445,0.7549902129932106,0.9057530510952913,0.8471348679179966,0.950559059592275,0.9011895841003336
